date,group,home_team,away_team,home_score,away_score
2026-06-11,A,Mexico,South Africa,2,0
2026-06-11,A,South Korea,Czech Republic,2,1
2026-06-12,B,Canada,Bosnia and Herzegovina,1,1
2026-06-12,D,USA,Paraguay,4,1
2026-06-13,B,Qatar,Switzerland,1,1
2026-06-13,C,Brazil,Morocco,1,1
2026-06-13,C,Haiti,Scotland,0,1
2026-06-13,D,Australia,Turkey,2,0
2026-06-14,E,Germany,Curacao,7,1
2026-06-14,E,Ivory Coast,Ecuador,1,0
2026-06-14,F,Netherlands,Japan,2,2
2026-06-14,F,Sweden,Tunisia,5,1
2026-06-15,G,Belgium,Egypt,1,1
2026-06-15,G,Iran,New Zealand,2,2
2026-06-15,H,Spain,Cape Verde,0,0
2026-06-15,H,Saudi Arabia,Uruguay,1,1
2026-06-16,I,France,Senegal,3,1
2026-06-16,I,Iraq,Norway,1,4
2026-06-16,J,Argentina,Algeria,3,0
2026-06-16,J,Austria,Jordan,3,1
2026-06-17,K,Portugal,DR Congo,1,1
2026-06-17,L,England,Croatia,4,2
2026-06-17,L,Ghana,Panama,1,0
2026-06-18,A,Czech Republic,South Africa,1,1
2026-06-17,K,Uzbekistan,Colombia,1,3
2026-06-18,B,Switzerland,Bosnia and Herzegovina,4,1
